wvl_1,T = 22°C,wvl_2,T = -8°C,wvl_3,T = -25°C,wvl_4,T = -7°C,wvl_5,T = 25°C (H),wvl_6,T = 20°C,wvl_7,T = 25°C (S),Index
775.2,1.70e-7,,,,,1923,0.0007615,,,755,1.66E-07,1348.9629,4.0466E-05,105
776.4,1.70e-7,,,,,1942,0.00101,,,756,1.67E-07,1361.4447,4.50495E-05,106
777.6,1.69e-7,,,,,1961,0.001313,,,757,1.67E-07,1370.8818,5.8035E-05,107
778.8,1.68e-7,,,,,1980,0.001539,,,758,1.67E-07,1380.3843,7.80172E-05,108
780.0,1.67e-7,,,,,2000,0.001588,,,759,1.67E-07,1389.9526,0.000105996,109
781.3,1.65e-7,,,,,2020,0.00154,,,760,1.67E-07,1399.5873,0.000153035,110
782.5,1.64e-7,,,,,2041,0.001412,,,761,1.67E-07,1409.2888,0.000253975,111
783.7,1.63e-7,,,,,2062,0.001244,,,762,1.67E-07,1419.0575,0.000319735,112
784.9,1.62e-7,,,,,2083,0.001068,,,763,1.68E-07,1428.894,0.000353826,113
786.2,1.60e-7,,,,,2105,0.0008414,,,764,1.67E-07,1438.7986,0.000362903,114
787.4,1.58e-7,,,,,2130,0.000565,,,765,1.67E-07,1448.7719,0.000363739,115
788.6,1.57e-7,,,,,2150,0.000432,,,766,1.67E-07,1458.8143,0.000360404,116
789.9,1.55e-7,,,,,2170,0.00035,,,767,1.67E-07,1468.9263,0.00033868,117
791.1,1.54e-7,,,,,2190,0.000287,,,768,1.67E-07,1479.1084,0.000301849,118
792.4,1.52e-7,,,,,2220,0.000221,,,769,1.66E-07,1489.3611,0.000265944,119
793.7,1.50e-7,,,,,2240,0.000203,,,770,1.66E-07,1499.6848,0.000224797,120
794.9,1.49e-7,,,,,2245,0.000201,,,771,1.66E-07,1510.0802,0.00019579,121
796.2,1.48e-7,,,,,2250,0.000203,,,772,1.65E-07,1520.5475,0.000174097,122
797.4,1.47e-7,,,,,2260,0.000214,,,773,1.65E-07,1531.0875,0.000160247,123
798.7,1.45e-7,,,,,2270,0.000232,,,774,1.64E-07,1541.7005,0.000144142,124
800.0,1.43e-7,,,,,2290,0.000289,,,775,1.63E-07,1548.8166,0.000134831,125
801.3,1.43e-7,,,,,2310,0.000381,,,776,1.62E-07,1559.5525,0.000123962,126
802.6,1.42e-7,,,,,2330,0.000462,,,777,1.62E-07,1570.3628,0.000114022,127
803.9,1.41e-7,,,,,2350,0.000548,,,778,1.61E-07,1581.248,0.000107076,128
805.2,1.41e-7,,,,,2370,0.000618,,,779,1.61E-07,1588.5468,9.94009E-05,129
806.5,1.41e-7,,,,,2390,0.00068,,,780,1.60E-07,1599.558,9.34739E-05,130
807.8,1.40e-7,,,,,2410,0.00073,,,781,1.58E-07,1610.6456,8.8042E-05,131
809.1,1.41e-7,,,,,2430,0.000782,,,782,1.57E-07,1621.8101,8.30979E-05,132
810.4,1.41e-7,,,,,2460,0.000848,,,783,1.56E-07,1629.296,8.09637E-05,133
811.7,1.42e-7,,,,,2500,0.000925,,,784,1.55E-07,1640.5898,7.90297E-05,134
813.0,1.43e-7,,,,,,,,,785,1.54E-07,1648.1624,7.59085E-05,135
814.3,1.44e-7,,,,,,,,,786,1.53E-07,1659.5869,7.39759E-05,136
815.7,1.46e-7,,,,,,,,,787,1.52E-07,1671.0906,7.4044E-05,137
817.0,1.48e-7,,,,,,,,,788,1.50E-07,1678.804,7.49532E-05,138
818.3,1.50e-7,,,,,,,,,789,1.49E-07,1690.4409,7.60134E-05,139
819.7,1.52e-7,,,,,,,,,790,1.48E-07,1698.2436,7.74266E-05,140
821.0,1.56e-7,,,,,,,,,791,1.47E-07,1710.0153,8.04989E-05,141
822.4,1.60e-7,,,,,,,,,792,1.46E-07,1721.8686,8.40989E-05,142
823.7,1.65e-7,,,,,,,,,793,1.45E-07,1729.8164,8.9E-05,143
825.1,1.72e-7,,,,,,,,,794,1.43E-07,1741.8069,9.51021E-05,144
826.4,1.82e-7,,,,,,,,,795,1.42E-07,1749.8467,9.99977E-05,145
827.8,1.92e-7,,,,,,,,,796,1.41E-07,1761.976,0.000105121,146
829.2,2.05e-7,,,,,,,,,797,1.40E-07,1770.109,0.000112019,147
830.6,2.18e-7,,,,,,,,,798,1.39E-07,1778.2794,0.000121868,148
831.9,2.29e-7,,,,,,,,,799,1.38E-07,1790.6059,0.000133042,149
833.3,2.39e-7,,,,,,,,,800,1.38E-07,1798.8709,0.000135922,150
834.7,2.46e-7,,,,,,,,,801,1.36E-07,1811.3401,0.000137117,151
836.1,2.52e-7,,,,,,,,,802,1.36E-07,1819.7009,0.000137972,152
837.5,2.57e-7,,,,,,,,,803,1.35E-07,1828.1002,0.000141837,153
838.9,2.61e-7,,,,,,,,,804,1.35E-07,1840.772,0.000155164,154
840.3,2.64e-7,,,,,,,,,805,1.35E-07,1849.2686,0.000186119,155
841.8,2.68e-7,,,,,,,,,806,1.34E-07,1862.0871,0.000320472,156
843.2,2.71e-7,,,,,,,,,807,1.34E-07,1870.6821,0.000520943,157
844.6,2.74e-7,,,,,,,,,808,1.34E-07,1879.3168,0.000722421,158
846.0,2.77e-7,,,,,,,,,809,1.35E-07,1887.9914,0.000922126,159
847.5,2.80e-7,,,,,,,,,810,1.35E-07,1901.0783,0.001160888,160
848.9,2.84e-7,,,,,,,,,811,1.36E-07,1909.8532,0.001677993,161
850.3,2.84e-7,,,,,,,,,812,1.36E-07,1918.6687,0.001827217,162
851.8,2.86e-7,,,,,,,,,813,1.37E-07,1931.9683,0.001922163,163
853.2,2.90e-7,,,,,,,,,814,1.38E-07,1940.8859,0.001908931,164
854.7,2.93e-7,,,,,,,,,815,1.39E-07,1949.8446,0.001848375,165
856.2,2.97e-7,,,,,,,,,816,1.41E-07,1958.8447,0.001717079,166
857.6,2.99e-7,,,,,,,,,817,1.42E-07,1967.8863,0.001548068,167
859.1,3.30e-7,,,,,,,,,818,1.44E-07,1981.527,0.001402136,168
860.6,3.06e-7,,,,,,,,,819,1.46E-07,1990.6733,0.001249655,169
862.1,3.09e-7,,,,,,,,,820,1.49E-07,1999.8619,0.001101007,170
863.6,3.13e-7,,,,,,,,,821,1.52E-07,2009.0928,0.000990353,171
865.1,3.17e-7,,,,,,,,,822,1.54E-07,2018.3664,0.000888772,172
866.6,3.21e-7,,,,,,,,,823,1.58E-07,2027.6827,0.000804989,173
868.1,3.25e-7,,,,,,,,,824,1.63E-07,2041.7379,0.000739248,174
869.6,3.29e-7,,,,,,,,,825,1.69E-07,2051.1622,0.000674202,175
871.1,3.35e-7,,,,,,,,,826,1.76E-07,2060.6299,0.000620569,176
872.6,3.40e-7,,,,,,,,,827,1.83E-07,2070.1414,0.000572519,177
874.1,3.45e-7,,,,,,,,,828,1.90E-07,2079.6967,0.000529408,178
875.7,3.52e-7,,,,,,,,,829,1.99E-07,2089.2961,0.000488416,179
877.2,3.57e-7,,,,,,,,,830,2.07E-07,2098.9399,0.000464291,180
878.7,3.64e-7,,,,,,,,,831,2.15E-07,2108.6281,0.000440342,181
880.3,3.71e-7,,,,,,,,,832,2.22E-07,2118.3611,0.000417629,182
881.8,3.78e-7,,,,,,,,,833,2.29E-07,2128.139,0.000397,183
883.4,3.84e-7,,,,,,,,,834,2.36E-07,2137.9621,0.00038264,184
885.0,3.92e-7,,,,,,,,,835,2.41E-07,2147.8305,0.000370502,185
886.5,3.99e-7,,,,,,,,,836,2.45E-07,2157.7444,0.000358749,186
888.1,4.06e-7,,,,,,,,,837,2.48E-07,2167.7041,0.000350582,187
889.7,4.13e-7,,,,,,,,,838,2.51E-07,2177.7098,0.000343392,188
891.3,4.20e-7,,,,,,,,,839,2.54E-07,2187.7616,0.000339461,189
892.9,4.27e-7,,,,,,,,,840,2.57E-07,2197.8599,0.000337902,190
894.5,4.34e-7,,,,,,,,,841,2.59E-07,2208.0047,0.00033868,191
896.1,4.41e-7,,,,,,,,,842,2.61E-07,2218.1964,0.000341028,192
897.7,4.48e-7,,,,,,,,,843,2.64E-07,2228.4351,0.000345772,193
899.3,4.55e-7,,,,,,,,,844,2.66E-07,2238.7211,0.0003571,194
900.9,4.63e-7,,,,,,,,,845,2.68E-07,2249.0546,0.00037393,195
902.5,4.71e-7,,,,,,,,,846,2.71E-07,2259.4358,0.000389754,196
904.2,4.80e-7,,,,,,,,,847,2.73E-07,2269.8649,0.000408122,197
905.8,4.88e-7,,,,,,,,,848,2.75E-07,2280.3421,0.000429329,198
907.4,4.98e-7,,,,,,,,,849,2.78E-07,2290.8677,0.000450599,199
909.1,5.09e-7,,,,,,,,,850,2.80E-07,2301.4418,0.000468587,200
910.7,5.21e-7,,,,,,,,,851,2.82E-07,2312.0648,0.000491802,201
912.4,5.34e-7,,,,,,,,,852,2.85E-07,2317.3946,0.000511435,202
914.1,5.50e-7,,,,,,,,,853,2.86E-07,2328.0912,0.000542988,203
915.8,5.68e-7,,,,,,,,,854,2.89E-07,2338.8372,0.000599501,204
917.4,5.90e-7,,,,,,,,,855,2.91E-07,2349.6328,0.000636488,205
919.1,6.15e-7,,,,,,,,,856,2.94E-07,2360.4782,0.000685157,206
920.8,6.45e-7,,,,,,,,,857,2.96E-07,2371.3737,0.00074266,207
922.5,6.80e-7,,,,,,,,,858,2.98E-07,2382.3195,0.000792118,208
924.2,7.22e-7,,,,,,,,,859,3.00E-07,2387.8113,0.00084877,209
925.9,7.68e-7,,,,,,,,,860,3.02E-07,2398.8329,0.000909474,210
927.6,8.22e-7,,,,,,,,,861,3.04E-07,2409.9054,0.000990353,211
929.4,8.83e-7,,,,,,,,,862,3.07E-07,2421.0291,0.001071002,212
931.1,9.49e-7,,,,,,,,,863,3.09E-07,2432.204,0.001150244,213
932.8,1.02e-6,,,,,,,,,864,3.11E-07,2437.8108,0.001249655,214
934.6,1.09e-6,,,,,,,,,865,3.14E-07,2449.0632,0.001348311,215
936.3,1.16e-6,,,,,,,,,866,3.16E-07,2460.3676,0.001471601,216
938.1,1.26e-6,,,,,,,,,867,3.19E-07,2471.7242,0.001580484,217
939.8,1.36e-6,939.8,1.17e-6,,,,,,,868,3.22E-07,2477.4221,0.001709189,218
941.6,1.47e-6,941.6,1.24e-6,,,,,,,869,3.25E-07,2488.8573,0.001810465,219
943.4,1.58e-6,943.4,1.32e-6,,,,,,,870,3.28E-07,2500.3454,0.00190016,220
945.2,1.72e-6,945.2,1.42e-6,,,,,,,871,3.31E-07,,,221
947.0,1.86e-6,947.0,1.56e-6,,,,,,,872,3.34E-07,,,222
948.8,2.04e-6,948.8,1.70e-6,,,,,,,873,3.38E-07,,,223
